CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,STN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,,
73,63736.425,63736.354,59.000717,-10.876286,4.259884,0.1095,-0.00998,-0.00162,36.584948,-74.350263,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9549.402129,1,WGSLLA,PETARC
73,63737.269,63736.354,59.000717,-10.876286,4.259884,0.1095,-0.00998,-0.00162,36.584948,-74.350263,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9549.402129,1,WGSLLA,PETARC
73,63737.48,63737.341,59.10677,-10.895956,4.254345,0.10941,-0.01154,-0.00223,36.584602,-74.348102,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9542.031097,1,WGSLLA,PETARC
73,63737.481,63737.341,59.10677,-10.895956,4.254345,0.10941,-0.01154,-0.00223,36.584602,-74.348102,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9542.031097,1,WGSLLA,PETARC
73,63738.411,63737.341,59.10677,-10.895956,4.254345,0.10941,-0.01154,-0.00223,36.584602,-74.348102,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9542.031097,1,WGSLLA,PETARC
73,63738.51,63738.324,59.213585,-10.910261,4.248745,0.10947,-0.01199,-0.00275,36.584344,-74.345925,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9534.536918,1,WGSLLA,PETARC
73,63739.639,63739.308,59.321655,-10.92395,4.250395,0.10971,-0.01227,-0.00208,36.584096,-74.343694,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9541.585953,1,WGSLLA,PETARC
73,63740.352,63740.295,59.428093,-10.940928,4.245335,0.10962,-0.01303,-0.00253,36.583795,-74.341495,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9535.18897,1,WGSLLA,PETARC
73,63740.536,63740.295,59.428093,-10.940928,4.245335,0.10962,-0.01303,-0.00253,36.583795,-74.341495,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9535.18897,1,WGSLLA,PETARC
73,63741.424,63741.276,59.536289,-10.950926,4.244579,0.10989,-0.0126,-0.00226,36.583608,-74.33929,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9537.421286,1,WGSLLA,PETARC
