STD PET CSV
CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,LTN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,Geometry,File Type,Special Point Type,Platform,Activity,Spec Type,STN
900,63690.000,63690.000,0.734889,-5.826770,4.663029,0.083514,-0.075196,0.000000,36.598000,-74.450000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9335.986333,0,WGSLLA,PETARC,0,0,0,0,0
900,63692.000,63692.000,0.930887,-5.948150,4.676781,0.091946,-0.062019,0.000000,36.596000,-74.446000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9363.993667,0,WGSLLA,PETARC,0,0,0,0,0
900,63705.000,63705.000,2.253879,-6.311812,4.640584,0.108252,-0.005673,0.000000,36.590000,-74.419000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9294.088667,0,WGSLLA,PETARC,0,0,0,0,0
900,63711.000,63711.000,2.939856,-6.372077,4.611989,0.108959,-0.005710,0.000000,36.589000,-74.405000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9238.138667,0,WGSLLA,PETARC,0,0,0,0,0
900,63721.000,63721.000,4.017854,-6.431972,4.610296,0.108524,-0.005688,0.000000,36.588000,-74.383000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9237.117333,0,WGSLLA,PETARC,0,0,0,0,0
900,63726.000,63726.000,4.556827,-6.431469,4.603729,0.108857,-0.009524,0.000000,36.588000,-74.372000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9225.304000,0,WGSLLA,PETARC,0,0,0,0,0
900,63740.000,63740.000,6.075973,-6.611802,4.584434,0.109756,-0.013476,0.000000,36.585000,-74.341000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9192.010333,0,WGSLLA,PETARC,0,0,0,0,0
900,63758.000,63758.000,7.742323,-6.852094,4.563494,0.112311,-0.015784,0.000000,36.581000,-74.307000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9157.648333,0,WGSLLA,PETARC,0,0,0,0,0
900,63774.000,63774.000,9.948008,-7.151382,4.542838,0.114925,-0.018202,0.000000,36.576000,-74.262000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9128.702333,0,WGSLLA,PETARC,0,0,0,0,0
900,63775.000,63775.000,9.997147,-7.211975,4.544727,0.114979,-0.018211,0.000000,36.575000,-74.261000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9133.012333,0,WGSLLA,PETARC,0,0,0,0,0
900,63790.000,63790.000,11.712943,-7.450789,4.540022,0.116002,-0.018373,0.000000,36.571000,-74.226000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9135.263333,0,WGSLLA,PETARC,0,0,0,0,0
900,63790.000,63790.000,11.712937,-7.450785,4.538406,0.116002,-0.018373,0.000000,36.571000,-74.226000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9132.032667,0,WGSLLA,PETARC,0,0,0,0,0
900,63807.000,63807.000,13.674496,-7.870350,4.534185,0.112464,-0.040934,0.000000,36.564000,-74.186000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9139.684333,0,WGSLLA,PETARC,0,0,0,0,0
900,63810.000,63810.000,14.067120,-8.051262,4.527919,0.109111,-0.050879,0.000000,36.561000,-74.178000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9131.095667,0,WGSLLA,PETARC,0,0,0,0,0
900,63822.000,63822.000,15.196957,-8.836744,4.514864,0.082417,-0.091533,0.000000,36.548000,-74.155000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9118.263333,0,WGSLLA,PETARC,0,0,0,0,0
900,63828.000,63828.000,15.344787,-9.079021,4.507680,0.074257,-0.098542,0.000000,36.544000,-74.152000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9106.434667,0,WGSLLA,PETARC,0,0,0,0,0
900,63840.000,63840.000,15.792205,-10.958948,4.477699,-0.029969,-0.120199,0.000000,36.513000,-74.143000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9061.303667,0,WGSLLA,PETARC,0,0,0,0,0
900,63844.000,63844.000,15.743306,-11.019764,4.464808,-0.034206,-0.119289,0.000000,36.512000,-74.144000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9035.465667,0,WGSLLA,PETARC,0,0,0,0,0
900,63858.000,63858.000,14.423947,-12.844093,4.287117,-0.098510,-0.085634,0.000000,36.482000,-74.171000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8681.238000,0,WGSLLA,PETARC,0,0,0,0,0
900,63873.000,63873.000,13.052654,-13.879323,4.169534,-0.116402,-0.064523,0.000000,36.465000,-74.199000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8443.261667,0,WGSLLA,PETARC,0,0,0,0,0
900,63888.000,63888.000,10.943218,-14.369454,3.997083,-0.131605,-0.011514,0.000000,36.457000,-74.242000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8087.872667,0,WGSLLA,PETARC,0,0,0,0,0
900,63903.000,63903.000,9.078457,-14.373414,4.000743,-0.118539,0.012459,0.000000,36.457000,-74.280000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8084.545000,0,WGSLLA,PETARC,0,0,0,0,0
900,63918.000,63918.000,7.655837,-14.255857,4.316291,-0.088334,0.007728,0.000000,36.459000,-74.309000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8707.854333,0,WGSLLA,PETARC,0,0,0,0,0
900,63935.000,63935.000,6.330438,-14.075518,4.259347,-0.087215,0.012257,0.000000,36.462000,-74.336000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8587.194667,0,WGSLLA,PETARC,0,0,0,0,0
900,63960.000,63960.000,3.925529,-13.653422,4.288176,-0.084601,0.017983,0.000000,36.469000,-74.385000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8634.426667,0,WGSLLA,PETARC,0,0,0,0,0
900,63970.000,63970.000,3.140301,-13.471944,4.288578,-0.085602,0.019763,0.000000,36.472000,-74.401000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8632.226667,0,WGSLLA,PETARC,0,0,0,0,0
900,63975.000,63975.000,2.894961,-13.472081,4.283399,-0.084859,0.019591,0.000000,36.472000,-74.406000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8621.446333,0,WGSLLA,PETARC,0,0,0,0,0
900,63986.000,63986.000,1.766295,-13.169135,4.267513,-0.086080,0.019873,0.000000,36.477000,-74.429000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8585.847333,0,WGSLLA,PETARC,0,0,0,0,0
900,63990.000,63990.000,1.422829,-13.108558,4.266274,-0.086346,0.019934,0.000000,36.478000,-74.436000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8582.597333,0,WGSLLA,PETARC,0,0,0,0,0
900,64005.000,64005.000,0.098120,-12.805305,4.259578,-0.088151,0.020351,0.000000,36.483000,-74.463000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8566.367000,0,WGSLLA,PETARC,0,0,0,0,0
900,64020.000,64020.000,-1.275455,-12.440992,4.255785,-0.089369,0.022282,0.000000,36.489000,-74.491000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8556.595667,0,WGSLLA,PETARC,0,0,0,0,0
900,64035.000,64035.000,-2.599805,-12.137040,4.264709,-0.091318,0.019410,0.000000,36.494000,-74.518000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8573.759333,0,WGSLLA,PETARC,0,0,0,0,0
900,64051.000,64051.000,-4.022098,-11.832651,4.278919,-0.091603,0.021148,0.000000,36.499000,-74.547000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8602.774000,0,WGSLLA,PETARC,0,0,0,0,0
900,64069.000,64069.000,-5.738449,-11.466837,4.306250,-0.093409,0.018157,0.000000,36.505000,-74.582000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8659.773000,0,WGSLLA,PETARC,0,0,0,0,0
900,64078.000,64078.000,-6.473987,-11.344519,4.309660,-0.093131,0.019796,0.000000,36.507000,-74.597000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8668.359667,0,WGSLLA,PETARC,0,0,0,0,0
900,64084.000,64084.000,-7.209406,-11.161411,4.317414,-0.093078,0.019784,0.000000,36.510000,-74.612000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8685.559000,0,WGSLLA,PETARC,0,0,0,0,0
900,64097.000,64097.000,-8.238995,-10.977647,4.313551,-0.091105,0.019365,0.000000,36.513000,-74.633000,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8681.212333,0,WGSLLA,PETARC,0,0,0,0,0
900,64099.000,64099.000,-8.484100,-10.916531,4.315845,-0.091052,0.019354,0.000000,36.514000,-74.638000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8686.586000,0,WGSLLA,PETARC,0,0,0,0,0
900,64114.000,64114.000,-9.905595,-10.610251,4.294725,-0.090039,0.019138,0.000000,36.519000,-74.667000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8649.927000,0,WGSLLA,PETARC,0,0,0,0,0
900,64129.000,64129.000,-11.277572,-10.242847,4.230275,-0.093335,0.023271,0.000000,36.525000,-74.695000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8527.135667,0,WGSLLA,PETARC,0,0,0,0,0
900,64130.000,64130.000,-11.228825,-10.364335,4.228998,-0.092984,0.021467,0.000000,36.523000,-74.694000,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,8524.986667,0,WGSLLA,PETARC,0,0,0,0,0
900,64144.000,64144.000,-12.306196,-9.512668,4.467339,-0.031793,0.074900,0.000000,36.537000,-74.716000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9004.044667,0,WGSLLA,PETARC,0,0,0,0,0
900,64167.000,64167.000,-11.567326,-7.936846,4.604086,0.081081,0.044944,0.000000,36.563000,-74.701000,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9264.574333,0,WGSLLA,PETARC,0,0,0,0,0
900,64169.000,64169.000,-11.370869,-7.815861,4.571629,0.087428,0.038926,0.000000,36.565000,-74.697000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9197.823667,0,WGSLLA,PETARC,0,0,0,0,0
900,64184.000,64184.000,-9.900208,-7.697769,4.561851,0.108425,-0.015238,0.000000,36.567000,-74.667000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9168.792667,0,WGSLLA,PETARC,0,0,0,0,0
900,64199.000,64199.000,-8.283879,-8.247204,4.592281,0.108040,-0.048103,0.000000,36.558000,-74.634000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9223.768667,0,WGSLLA,PETARC,0,0,0,0,0
900,64200.000,64200.000,-8.136928,-8.308150,4.590331,0.108489,-0.048302,0.000000,36.557000,-74.631000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9219.468667,0,WGSLLA,PETARC,0,0,0,0,0
900,64214.000,64214.000,-6.863498,-8.917307,4.663718,0.112024,-0.049876,0.000000,36.547000,-74.605000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9363.799333,0,WGSLLA,PETARC,0,0,0,0,0
